experiment,sweep_param,sweep_value,simTicks,simInsts,ipc,fetch_cycles,fetch_squashCycles,fetch_nisnDist_mean,fetch_nisnDist_0,fetch_nisnDist_8,fetch_nisnDist_samples,fetch_predictedBranches,fetch_cacheLines,fetch_icacheSquashes,decode_decodedInsts,decode_idleCycles,decode_blockedCycles,decode_runCycles,rename_renamedInsts,rename_idleCycles,rename_blockCycles,rename_runCycles,rename_IQFullEvents,rename_LQFullEvents,rename_SQFullEvents,rename_ROBFullEvents,rename_renamedOperands,numIssuedDist_mean,numIssuedDist_0,numIssuedDist_samples,lsq_forwLoads,lsq_blockedByCache,lsq_memOrderViolation,commit_numCommittedDist_mean,commit_numCommittedDist_0,commit_numCommittedDist_8,commit_branchMispredicts,rob_reads,rob_writes,iew_memOrderViolation
sweep_robcap64,robcap64,robcap64,8255607000,50000003,3.028245,9662134,386734,3.485168,6867477,6009422,16510453,784874,3826924,13862,56134837,6565206,425472,9244306,54866562,6728276,403929,9163085,,,21543,,63207983,3.169913,1582695,16510453,1892213,1,416,3.142190,4283576,3144610,193008,82721684,107547393,416
sweep_robcap68,robcap68,robcap68,8275348500,50000003,3.021021,9646447,386652,3.474091,6923030,6005447,16549936,784875,3814835,3861,56061956,6620596,417793,9237662,54752870,6793320,395868,9145245,,,21925,,63101599,3.159411,1777035,16549936,1972385,1,353,3.132823,4672071,3335131,193008,82566484,107401760,353
sweep_robcap72,robcap72,robcap72,8232866500,50000003,3.036609,9714139,387010,3.504169,6770564,6020079,16464972,784968,3867894,10262,56681162,6418629,469260,9266328,55545163,6607351,447146,9194602,,,22116,,64081078,3.183155,1660581,16464972,1962068,1,552,3.159827,4480490,3388377,193008,82709008,108294847,552
sweep_robcap80,robcap80,robcap80,8239647500,50000003,3.034110,9822297,387608,3.529439,6675969,6072831,16478534,784937,3923537,39017,57297288,6304857,555422,9273592,56234025,6482683,533223,9246364,90,,22116,,64848987,3.191044,1688755,16478534,2066553,1,863,3.174434,4607115,3453764,193153,83272215,109749347,863
sweep_robcap96,robcap96,robcap96,8448442500,50000003,2.959125,10417052,400336,3.667941,6498872,6439718,16896124,792593,4144486,56367,61042598,5667828,1245358,9424102,59951410,5889530,958729,9546898,226281,,22116,,69180962,3.161060,2099524,16896124,2752341,1,7207,3.171565,4690906,3479755,193153,87122096,117105805,7207
sweep_rw1,rw1,rw1,27966826500,50000000,0.893916,51600092,386020,1.064918,45153676,4830630,55932932,784750,3949247,2703,51825920,2634345,46332937,672893,50740191,5002783,792,4404141,,,6161,,57507897,0.899817,8978640,55932932,25622,1,0,0.897171,20173141,3,193007,160886386,100943899,0
sweep_rw2,rw2,rw2,15607683000,50000003,1.601775,26878832,386138,1.917299,20393831,5048016,31214619,784750,3966410,17003,52610648,2695133,21455637,673007,51517120,5084355,800,4481496,,,13904,,58594384,1.639781,4214487,31214619,34002,1,58,1.612048,8156402,21364,193008,111945904,101992264,58
sweep_rw3,rw3,rw3,12434370000,50000003,2.010556,20527229,386180,2.418714,14081562,5157664,24867986,784769,3955995,1652,53108074,2750428,14881599,653652,52098696,5189047,21377,4603998,,,17532,,59291736,2.067260,2634393,24867986,650611,1,113,2.028283,5807982,697820,193008,99046736,102370680,113
sweep_rw4,rw4,rw4,9558929000,50000003,2.615356,14752047,386492,3.164841,8197782,5605839,19117097,784818,4111660,133304,54007112,2779100,8974611,560365,52983480,5183167,115521,4765810,,,21543,,60962845,2.695970,1610193,19117097,1587151,1,239,2.658561,3876359,1719911,193036,87854761,103902700,239
sweep_rw5,rw5,rw5,9558831500,50000003,2.615382,14751941,386490,3.164873,8197605,5605714,19116902,784816,4111628,133360,54006052,2779185,8974467,505089,53061960,5128143,170520,4820881,,,21637,,61081453,2.701762,1900016,19116902,1586722,1,233,2.666385,4010098,1677766,193037,87934589,104194509,233
sweep_rw6,rw6,rw6,9558797000,50000003,2.615392,14751872,386492,3.164874,8197577,5605730,19116833,784819,4111638,133373,54005936,2779182,8974413,505084,53140405,5128119,170526,4820889,,,21637,,61120508,2.705738,1912805,19116833,1586982,1,234,2.666396,4012339,1679278,193037,88051929,104432378,234
sweep_rw7,rw7,rw7,9558812000,50000003,2.615388,14751886,386502,3.164879,8197576,5605857,19116863,784821,4111651,133380,54005995,2779291,8974131,505751,53218923,5128235,170542,4820983,,,21925,,61203620,2.709885,2027886,19116863,1587113,1,239,2.666394,4015813,1679655,193037,88170713,104670544,239
sweep_rw8,rw8,rw8,8597217500,50000003,2.907918,12327832,407296,3.894457,5768959,6642541,17193674,912428,4499494,31795,63176618,3138466,4724455,6849130,62144404,4066238,1327216,8182775,2754425,266315,22116,,71298611,3.118146,2355241,17193674,2677982,1,9457,3.168844,4566873,3469386,194320,89868193,122270614,9457
sweep_test_force_cons,test_force_cons,test_force_cons,1601424500,5000000,1.561110,2804733,38800,1.620329,468323,1056,3202058,81329,377723,19396,5168998,458674,14402,2708870,5141248,472926,2102,2695283,,,12300,,5838637,1.578795,364252,3202058,3666,4,0,1.573599,971553,3,19397,11323083,10146795,0
